,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
1809,35,Csaba,9.92,male,Unknown Mix,7/26/12,7/26/12,12/28/12,apricot,long,medium,,,yes,Maybe?,,,,
1810,42,Fürtös,7.42,male,Unknown Mix,8/19/12,8/19/12,12/29/12,black and white,medium,medium,,,yes,yes,yes,yes,,
1811,36,Drive,9.5,female,Unknown Mix,7/26/12,7/26/12,12/28/12,apricot,medium,medium,,,,Maybe?,,,,
1812,31,Happy,9.42,male,Unknown Mix,5/31/12,5/31/12,12/28/12,black and tan,short,medium,,,yes,Maybe?,yes,yes,,
1813,284,Dingo,8.58,male,Unknown Mix,12/21/12,12/21/12,12/23/12,striped,short,medium,,,,Maybe?,,,,
1814,32,Bella,9.67,female,Setter Mix,6/24/12,6/24/12,12/28/12,black and brown,medium,medium,,,yes,Maybe?,,,,
1815,282,Sinbad,7.08,male,Unknown Mix,12/19/12,12/19/12,12/23/12,brown,short,small,,,,yes,yes,yes,yes,
1816,37,Kuvasz,13.92,female,Kuvasz Mix,7/26/12,7/26/12,12/29/12,white,long,medium,,,yes,Maybe?,yes,yes,,
1817,40,Bátor,8.0,male,Unknown Mix,8/19/12,8/19/12,12/29/12,white,medium,small,yes,,yes,yes,yes,yes,,
1818,283,Yess,11.17,female,Beagle,12/20/12,12/20/12,12/23/12,brown and white,short,medium,,,,Maybe?,yes,yes,,
1819,280,Rasputyin,13.92,male,German Shepherd Dog,12/19/12,12/19/12,12/23/12,sable,short,large,,,,Maybe?,,,,
1820,17,Csöpi Úr,11.92,male,Unknown Mix,8/6/12,12/15/12,12/15/12,brown and white,wirehaired,small,no,,yes,yes,,yes,,garden
1821,43,Benõke,8.67,male,Unknown Mix,7/30/11,12/16/12,12/16/12,black,short,large,no,,yes,Maybe?,yes,yes,,garden
1822,12,"Limuzin  ""Limo""",8.5,female,Unknown Mix,11/3/12,11/3/12,12/6/12,black,medium,medium,no,,yes,yes,yes,yes,yes,both flat and garden
